App,Minutes
Benutzerauthentifizierung,4.166666666666667
Bet365,89.83333333333333
Chatgpt,7.333333333333333
Com.xt.retouchoversea,25.85
Db navigator,10.5
De.neuland-ingolstadt.neuland-app,6.5
Duolingo,36.833333333333336
Einstellungen,5.0
Fotos,3.1666666666666665
Gmail,8.833333333333334
Instagram,101.46666666666667
Kalender,9.333333333333334
Kurzbefehle,2.1666666666666665
Mcdonald’s deutschland,7.666666666666667
Notizen,8.166666666666666
Post & dhl,11.833333333333334
Safari,90.66666666666667
Screentimeunlock,0.16666666666666666
Shortcuts,0.6666666666666666
Snapchat,35.25
Sparkasse ihre mobile filiale,3.8333333333333335
Spotify,146.83333333333334
Strava: laufen & radfahren,1.6666666666666667
Telefon,6.333333333333333
Toralarm,20.333333333333332
Uhr,2.0
Vgi app,11.666666666666666
Wallet,6.666666666666667
Wetter,5.0
Youtube,107.65
‎,0.3333333333333333
‎whatsapp,93.16666666666667
