ScreenTimeUnlock,1,98 Sek.
YouTube,8.108,954 Sek.
Google Maps,6.601,826 Sek.
Snapchat,6.126,729 Sek.
Instagram,4.664,546 Sek.
Spotify,856,035 Sek.
‎WhatsApp,671,446 Sek.
Safari,563,013 Sek.
,478,583 Sek.
ChatGPT,438,74 Sek.
InCallService,397,481 Sek.
DB Navigator,304,774 Sek.
TorAlarm,215,894 Sek.
Telefon,206,144 Sek.
kaufDA,200,987 Sek.
Duolingo,136,303 Sek.
,123,602 Sek.
,120,622 Sek.
BFV,87,729 Sek.
,74,6 Sek.
Gmail,44,453 Sek.
,41,033 Sek.
,34,05 Sek.
Zalando,21,82 Sek.
Strava: Laufen & Radfahren,18,117 Sek.
Outlook,14,803 Sek.
,11,851 Sek.
Wo ist?,9,429 Sek.
Benutzerauthentifizierung,8,241 Sek.
Sparkasse Ihre mobile Filiale,5,534 Sek.
ScreenTimeUnlock,1,98 Sek.
