ScreenTimeUnlock,1,898 Sek.
YouTube,11.028,795 Sek.
Instagram,5.561,944 Sek.
ChatGPT,5.143,728 Sek.
Snapchat,3.125,308 Sek.
‎WhatsApp,800,043 Sek.
Safari,710,588 Sek.
com.xt.retouchoversea,580,236 Sek.
Spotify,371,25 Sek.
bet365,343,843 Sek.
,337,583 Sek.
com.picsart.studio,317,288 Sek.
Goodnotes,246,06 Sek.
Kleinanzeigen: Jetzt ohne eBay,180,971 Sek.
TorAlarm,180,95 Sek.
Gmail,177,839 Sek.
Duolingo,172,48 Sek.
InCallService,129,188 Sek.
BeReal. Deine Freunde in echt.,116,645 Sek.
Notizen,97,731 Sek.
App Store,73,677 Sek.
Kalender,65,144 Sek.
com.yourcompany.PPClient,57,991 Sek.
com.zhiliaoapp.musically,55,123 Sek.
McDonald’s Deutschland,44,253 Sek.
Telefon,36,204 Sek.
Outlook,34,549 Sek.
Benutzerauthentifizierung,32,572 Sek.
Strava: Laufen & Radfahren,30,178 Sek.
Post & DHL,29,895 Sek.
Einstellungen,26,553 Sek.
Wallet,22,734 Sek.
AuthKitUIService,19,085 Sek.
Dateien,16,782 Sek.
Google Chrome,16,317 Sek.
Discord,15,47 Sek.
Kamera,14,106 Sek.
,13,601 Sek.
,13,308 Sek.
Uhr,12,957 Sek.
Wetter,12,109 Sek.
,10,768 Sek.
,10,102 Sek.
Anki,8,688 Sek.
,8,318 Sek.
BusinessChatViewService,5,645 Sek.
Bildschirmfotos,5,063 Sek.
ScreenTimeUnlock,1,898 Sek.
