App,Minutes
Apple fitness,0.16666666666666666
Benutzerauthentifizierung,2.8333333333333335
Bfv,136.66666666666666
Bildschirmfotos,1.1666666666666667
Businesschatviewservice,0.16666666666666666
Com.bet365.bet365wrapper,18.266666666666666
Db navigator,3.6666666666666665
Duolingo,9.166666666666666
Fotos,2.1666666666666665
Fupa,10.5
Gmail,4.5
Instagram,38.4
Kalender,3.3333333333333335
Kaufda,11.833333333333334
Kurzbefehle,14.666666666666666
Safari,56.5
Screentimeunlock,0.3333333333333333
Shortcuts,1.0
Snapchat,29.233333333333334
Spotify,23.666666666666668
Telefon,3.5
Toralarm,142.5
Wallet,0.16666666666666666
Youtube,13.0
‎whatsapp,66.0
