App,Minutes
Benutzerauthentifizierung,3.8333333333333335
Bet365,85.33333333333333
Bfv,10.166666666666666
Bildschirmfotos,1.8333333333333333
Chatgpt,0.16666666666666666
Db navigator,74.0
Discord,7.666666666666667
Duolingo,36.833333333333336
Gmail,6.5
GoodNotes,4.25
Instagram,43.71666666666667
Kalender,6.0
Kurzbefehle,1.6666666666666667
Mediamarkt deutschland,26.333333333333332
Moodle,73.16666666666667
Neuland next,9.333333333333334
Notizen,14.0
Outlook,8.0
Safari,22.333333333333332
Screentimeunlock,0.16666666666666666
Shortcuts,0.6666666666666666
Snapchat,49.016666666666666
Spotify,21.133333333333333
Strava: laufen & radfahren,12.166666666666666
Telefon,3.8333333333333335
Toralarm,68.5
Uhr,8.666666666666666
Vgi app,13.5
Wetter,2.8333333333333335
Youtube,23.383333333333333
‎whatsapp,127.5
