App,Minutes
Benutzerauthentifizierung,3.6666666666666665
Com.bet365.bet365wrapper,11.833333333333334
Com.strava.stravaride,4.0
Com.yourcompany.ppclient,6.333333333333333
Db navigator,27.833333333333332
De.bfv.ios,23.333333333333332
De.starfinanz.finanzstatus,2.5
Duolingo,30.0
Einrichten,0.8333333333333334
Einstellungen,0.3333333333333333
Fotos,5.5
Gmail,1.8333333333333333
GoodNotes,28.2
Google maps,14.333333333333334
Instagram,141.9
Kalender,1.1666666666666667
Kurzbefehle,3.6666666666666665
Notizen,16.0
Safari,36.166666666666664
Screentimeunlock,0.16666666666666666
Snapchat,47.983333333333334
Spotify,18.833333333333332
Telefon,5.5
Toralarm,1.1666666666666667
Uhr,1.0
Wallet,1.6666666666666667
Youtube,87.93333333333334
‎whatsapp,164.5
