App,Minutes
YouTube,35.260000000000005
Safari,56.75
Snapchat,45.71
TorAlarm,59.9
GoodNotes,120.0
Instagram,-7.1
ChatGPT,-8.67
Strava,-10.25
WhatsApp,-12.61
